 num     #instances         #bytes  class name (module)
 249:            64           2560  java.lang.invoke.BoundMethodHandle$Species_LLL (java.base@11.0.1)
 250:            80           2560  java.util.LinkedHashMap$LinkedEntryIterator (java.base@11.0.1)
 251:            79           2528  com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference (java.management@11.0.1)
 252:            63           2520  java.io.FileDescriptor (java.base@11.0.1)
 253:           157           2512  java.util.ImmutableCollections$ListN (java.base@11.0.1)
 254:           104           2496  java.util.stream.ReduceOps$2 (java.base@11.0.1)
 255:           104           2496  java.util.stream.ReduceOps$2ReducingSink (java.base@11.0.1)
 256:           102           2448  sun.net.www.protocol.jar.JarURLConnection$JarURLInputStream (java.base@11.0.1)
 257:           102           2448  sun.nio.fs.UnixFileAttributeViews$Basic (java.base@11.0.1)
 258:            76           2368  [Ljavax.management.MBeanOperationInfo; (java.management@11.0.1)
 259:            49           2352  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@11.0.1)
 260:           146           2336  java.util.Collections$UnmodifiableSet (java.base@11.0.1)
 261:            41           2296  java.security.Provider$Service (java.base@11.0.1)
 262:            92           2208  java.security.Provider$ServiceKey (java.base@11.0.1)
 263:           138           2208  java.util.HashMap$KeySet (java.base@11.0.1)
 264:             7           2184  java.util.concurrent.ForkJoinPool$WorkQueue (java.base@11.0.1)
 265:           135           2160  java.security.SecureClassLoader$CodeSourceKey (java.base@11.0.1)
 266:            90           2160  java.util.concurrent.CopyOnWriteArrayList (java.base@11.0.1)
 267:            66           2112  java.lang.invoke.LambdaForm$Kind (java.base@11.0.1)
 268:            88           2112  java.util.Collections$UnmodifiableRandomAccessList (java.base@11.0.1)
 269:            65           2080  io.hbt.bubblegum.core.kademlia.router.RouterBucket
 270:           128           2048  java.lang.Character (java.base@11.0.1)
 271:            88           1984  [Ljava.lang.reflect.Type; (java.base@11.0.1)
 272:            41           1968  com.sun.management.internal.DiagnosticCommandInfo (jdk.management@11.0.1)
 273:            49           1960  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@11.0.1)
 274:            81           1944  java.util.Collections$UnmodifiableCollection$1 (java.base@11.0.1)
 275:           121           1936  sun.nio.fs.UnixFileAttributes$UnixAsBasicFileAttributes (java.base@11.0.1)
 276:            80           1920  javax.management.ObjectName$Property (java.management@11.0.1)
 277:            60           1920  jdk.internal.jimage.ImageBufferCache$BufferReference (java.base@11.0.1)
 278:            34           1904  co.paralleluniverse.asm.tree.InvokeDynamicInsnNode
 279:            84           1864  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@11.0.1)
